,TIME,FLUX,FLUX_ERR
105,56536.544916231505,0.09262536,0.01173306
106,56537.2787053403,0.09559223,0.008479643
107,56538.3434879329,0.10813299999999999,0.01181495
108,56539.3475400174,0.1222808,0.01011538
109,56540.544032461796,0.1330409,0.01044599
110,56541.5462618148,0.101872,0.009302653000000001
111,56542.874296179405,0.08932091,0.008176703
112,56543.5481448831,0.07881926,0.008166237
113,56546.38320675,0.06976313,0.007260309
114,56554.912046813704,0.08263336,0.007797136999999999
115,56556.078760032404,0.07689708,0.007388527
116,56558.049529559,0.09546373,0.008841466999999999
117,56560.1749781366,0.0335318,0.02522518
118,56562.1222117732,0.07368162,0.007928336
119,56564.989133869196,0.06252049,0.009969659
120,56566.5189197037,0.07479178,0.007757310999999999
121,56568.72023351269,0.07882262,0.008648646999999999
122,56570.8575298449,0.08955961,0.01220276
123,56572.8553170104,0.05857018,0.00728129
124,56574.8646641875,0.03160755,0.0144705
125,56576.637857209505,0.07389296,0.007829569
126,56578.6596475231,0.07181002,0.008239699
127,56584.8705639618,0.07356346,0.007894518
128,56586.8648996458,0.07319571,0.009109484000000001
129,56590.269725167804,0.07735654,0.008853594000000001
130,56594.568485388896,0.06314967,0.007902318
131,56598.510176189804,0.08762572,0.009132966
132,56610.980108506905,0.04800648,0.009361231999999999
133,56614.5090708345,0.0672064,0.01087612
134,56618.7049679641,0.06723324,0.01051014
135,56622.7723655104,0.06967593,0.007642431
136,56626.6468496076,0.07468436,0.00790974
137,56630.3053317488,0.05827448,0.01239942
138,56635.2370366319,0.06591987,0.01469296
139,56638.5053692002,0.07040488,0.008241016
140,56642.2772384583,0.077851,0.008407936999999999
141,56646.319225100706,0.06641645,0.008027282
142,56650.1497806551,0.0748495,0.008211213
143,56658.5439358021,0.05949054,0.008554071
144,56662.8797099317,0.05985425,0.007108255999999999
145,56666.8753947558,0.07033433,0.008003946999999999
146,56670.81786289,0.06544591,0.007301803000000001
147,56674.28043080559,0.05573111,0.007560292
148,56678.6138192164,0.06950361,0.007619778000000001
149,56682.112666112305,0.06758844,0.006863347
150,56686.4723808657,0.0541436,0.012811
151,56720.3364583831,0.08495911,0.008014363
152,56724.665000761604,0.06716187,0.006485399
153,56728.272710295096,0.07312727,0.007786347
154,56732.5377655104,0.06075315,0.007283746
155,56736.540233167805,0.07620075,0.008250152
156,56740.7718681863,0.09202908,0.008138135999999999
157,56744.6282578461,0.06878675,0.006780781
158,56748.788657100704,0.07638796,0.008875926999999999
159,56752.125110037,0.07713375,0.006910676
160,56764.316811189805,0.06693537,0.006300144000000001
161,56768.0505647269,0.07754537,0.01316006
162,56772.1389801146,0.09082033,0.008991506
163,56776.2658585937,0.08116578,0.007007406999999999
164,56780.6361216643,0.078815,0.006821645
165,56784.7956073646,0.08768223,0.009768952
166,56788.059614559,0.1064934,0.008531171
167,56792.262959912005,0.11463879999999999,0.00953845
168,56796.5284032604,0.1013293,0.007936823
169,56800.463663126204,0.1502841,0.01049646
170,56803.6554288611,0.32291729999999996,0.02036253
171,56804.4216028762,0.1585862,0.01228894
