,TIME,FLUX,FLUX_ERR
208,56792.158125,0.03225583874669226,0.00013632597158240122
360,56796.0874884259,0.038581462308637314,0.00011866551698183264
37,56800.3576157407,0.037631176109076,0.00016232573647757313
28,56803.6180439815,0.07031776005186154,0.00031211511327809515
256,56804.2159490741,0.03842344728616637,0.0001597989117497811
411,56814.9749884259,0.1627327674765088,0.0013308230536307082
279,56816.767349537,0.030238386657991372,0.00012839776082584052
372,56818.1728356481,0.2490105911314008,0.0012915743534001355
121,56820.2333217593,0.05453197300827299,0.0001728379887373655
358,56823.9638773148,0.17240169345962886,0.0016979431912750715
403,56824.1687384259,0.036206530212917164,0.0001538114799746639
325,56828.1655555556,0.04131698701267839,0.0006945662766457467
353,56832.1513773148,0.046334766157965154,0.00018295933113433624
169,56833.0784490741,0.2000561987102329,0.0012203823905842935
393,56836.8749884259,0.018409601615080658,0.0002958358751781321
228,56838.0777662037,0.17934535973200394,0.001006000509144407
14,56840.7430439815,0.038151667578532854,0.0005798302022215902
51,56843.8742824074,0.05096497135350046,0.00030345440693952693
130,56844.8013657407,0.03838563885724478,0.00020035313625571516
339,56848.6652662037,0.0282698675407902,0.0006838742352937255
184,56848.798599537,0.03487563538461317,0.0003353558269292636
332,56852.7982175926,0.04374177070395549,0.0008047157326918204
48,56853.0729166667,0.07451595660693044,0.0006372428211876394
176,56856.5992824074,0.0325306170789055,0.00020202439379419048
390,56857.0034606481,0.18818651568242684,0.0008610926737670491
86,56858.1347222222,0.16114492911513112,0.0008395869546317422
110,56868.8159606481,0.059628191067015404,0.0004897651282011881
166,56872.6722106481,0.20291842621137587,0.000885493594152862
42,56872.9388773148,0.03001195132329725,0.00018552961155096845
188,56876.5340162037,0.03164959992281988,0.0001224342690469369
153,56878.1513773148,0.17844836006328743,0.0007928717491955912
12,56879.7458217593,0.05356824546760995,0.00031070574364094953
202,56883.1388773148,0.060199883462675165,0.00022928654661310047
136,56888.5926967593,0.03741204169921839,0.00022094954767918907
213,56898.3812384259,0.30161153698136306,0.002095358876780627
91,56903.4534606481,0.06275918785088377,0.00028671402686238133
139,56908.3729050926,0.028441882583994077,0.00019421994201111842
232,56918.1305439815,0.27986771800688487,0.0016474461351403467
145,56923.786099537,0.061865676906327056,0.0002960549825877306
95,56928.0416550926,0.04329532290568159,0.0001385484996181956
319,56934.448900463,0.08894518790241487,0.0016737953826390078
218,56938.711099537,0.062313839727527603,0.00025540598368467674
92,56943.8965046296,0.0517790458821153,0.00016854928564926123
235,56948.4826273148,0.0327788560755222,0.0002181549715181839
316,56953.4777662037,0.07144297309972276,0.0002307844492229906
116,56957.4729050926,0.19452911354433985,0.0008308015736382635
115,56961.0721990741,0.06918050948259305,0.0002244385236249185
244,56970.3541550926,0.3090859113503191,0.0014163511960330907
52,56973.4784606481,0.06810515078153234,0.0002113547672157921
323,56978.0847106481,0.07596571175801846,0.00023152693027660777
